County,Seat,Established,Area
allen,Iola,1855,503.00
anderson,Garnett,1855,583.00
atchison,Atchison,1855,432.00
barber,Medicine Lodge,1867,1134.00
barton,Great Bend,1867,894.00
bourbon,Fort Scott,1855,637.00
brown,Hiawatha,1855,571.00
butler,El Dorado,1855,1428.00
chase,Cottonwood Falls,1859,776.00
chautauqua,Sedan,1875,642.00
cherokee,Columbus,1855,587.00
cheyenne,Saint Francis,1873,1020.00
clark,Ashland,1885,975.00
clay,Clay Center,1857,644.00
cloud,Concordia,1866,716.00
coffey,Burlington,1855,630.00
comanche,Coldwater,1867,788.00
cowley,Winfield,1867,1126.00
crawford,Girard,1867,593.00
decatur,Oberlin,1873,894.00
dickinson,Abilene,1857,848.00
doniphan,Troy,1855,392.00
douglas,Lawrence,1855,457.00
edwards,Kinsley,1874,622.00
elk,Howard,1875,648.00
ellis,Hays,1867,900.00
ellsworth,Ellsworth,1867,716.00
finney,Garden City,1883,1300.00
ford,Dodge City,1867,1099.00
franklin,Ottawa,1855,574.00
geary,Junction City,1855,384.00
gove,Gove City,1868,1072.00
graham,Hill City,1867,898.00
grant,Ulysses,1888,575.00
gray,Cimarron,1887,869.00
greeley,Tribune,1873,778.00
greenwood,Eureka,1855,1140.00
hamilton,Syracuse,1873,996.00
harper,Anthony,1867,802.00
harvey,Newton,1872,539.00
haskell,Sublette,1887,577.00
hodgeman,Jetmore,1867,860.00
jackson,Holton,1855,657.00
jefferson,Oskaloosa,1855,536.00
jewell,Mankato,1867,909.00
johnson,Olathe,1855,477.00
kearny,Lakin,1887,870.00
kingman,Kingman,1872,864.00
kiowa,Greensburg,1886,722.00
labette,Oswego,1867,649.00
lane,Dighton,1873,717.00
leavenworth,Leavenworth,1855,463.00
lincoln,Lincoln,1867,719.00
linn,Mound City,1855,599.00
logan,Oakley,1888,1073.00
lyon,Emporia,1855,851.00
marion,Marion,1860,943.00
marshall,Marysville,1855,903.00
mcpherson,McPherson,1867,900.00
meade,Meade,1885,978.00
miami,Paola,1855,577.00
mitchell,Beloit,1867,700.00
montgomery,Independence,1867,645.00
morris,Council Grove,1855,697.00
morton,Elkhart,1886,730.00
nemaha,Seneca,1855,719.00
neosho,Erie,1855,572.00
ness,Ness City,1867,1075.00
norton,Norton,1867,878.00
osage,Lyndon,1855,704.00
osborne,Osborne,1867,893.00
ottawa,Minneapolis,1860,721.00
pawnee,Larned,1867,754.00
phillips,Phillipsburg,1867,886.00
pottawatomie,Westmoreland,1857,844.00
pratt,Pratt,1867,735.00
rawlins,Atwood,1873,1070.00
reno,Hutchinson,1867,1254.00
republic,Belleville,1868,716.00
rice,Lyons,1867,727.00
riley,Manhattan,1855,610.00
rooks,Stockton,1867,888.00
rush,La Crosse,1867,718.00
russell,Russell,1867,885.00
saline,Salina,1860,720.00
scott,Scott City,1873,718.00
sedgwick,Wichita,1867,1000.00
seward,Liberal,1873,640.00
shawnee,Topeka,1855,550.00
sheridan,Hoxie,1873,896.00
sherman,Goodland,1873,1056.00
smith,Smith Center,1867,896.00
stafford,Saint John,1867,792.00
stanton,Johnson City,1887,680.00
stevens,Hugoton,1886,728.00
sumner,Wellington,1867,1182.00
thomas,Colby,1873,1075.00
trego,WaKeeney,1867,888.00
wabaunsee,Alma,1855,798.00
wallace,Sharon Springs,1868,914.00
washington,Washington,1857,898.00
wichita,Leoti,1873,719.00
wilson,Fredonia,1855,574.00
woodson,Yates Center,1855,501.00
wyandotte,Kansas City,1859,151.00
