County,Number of Records,Year,Population
Allen,1,2010,13371
Anderson,1,2010,8102
Atchison,1,2010,16924
Barber,1,2010,4861
Barton,1,2010,27674
Bourbon,1,2010,15173
Brown,1,2010,9984
Butler,1,2010,65880
Chase,1,2010,2790
Chautauqua,1,2010,3669
Cherokee,1,2010,21603
Cheyenne,1,2010,2726
Clark,1,2010,2215
Clay,1,2010,8535
Cloud,1,2010,9533
Coffey,1,2010,8601
Comanche,1,2010,1891
Cowley,1,2010,36311
Crawford,1,2010,39134
Decatur,1,2010,2961
Dickinson,1,2010,19754
Doniphan,1,2010,7945
Douglas,1,2010,110826
Edwards,1,2010,3037
Elk,1,2010,2882
Ellis,1,2010,28452
Ellsworth,1,2010,6497
Finney,1,2010,36776
Ford,1,2010,33848
Franklin,1,2010,25992
Geary,1,2010,34362
Gove,1,2010,2695
Graham,1,2010,2597
Grant,1,2010,7829
Gray,1,2010,6006
Greeley,1,2010,1247
Greenwood,1,2010,6689
Hamilton,1,2010,2690
Harper,1,2010,6034
Harvey,1,2010,34684
Haskell,1,2010,4256
Hodgeman,1,2010,1916
Jackson,1,2010,13462
Jefferson,1,2010,19126
Jewell,1,2010,3077
Johnson,1,2010,544179
Kearny,1,2010,3977
Kingman,1,2010,7858
Kiowa,1,2010,2553
Labette,1,2010,21607
Lane,1,2010,1750
Leavenworth,1,2010,76227
Lincoln,1,2010,3241
Linn,1,2010,9656
Logan,1,2010,2756
Lyon,1,2010,33690
Mcpherson,1,2010,29180
Marion,1,2010,12660
Marshall,1,2010,10117
Meade,1,2010,4575
Miami,1,2010,32787
Mitchell,1,2010,6373
Montgomery,1,2010,35471
Morris,1,2010,5923
Morton,1,2010,3233
Nemaha,1,2010,10178
Neosho,1,2010,16512
Ness,1,2010,3107
Norton,1,2010,5671
Osage,1,2010,16295
Osborne,1,2010,3858
Ottawa,1,2010,6091
Pawnee,1,2010,6973
Phillips,1,2010,5642
Pottawatomie,1,2010,21604
Pratt,1,2010,9656
Rawlins,1,2010,2519
Reno,1,2010,64511
Republic,1,2010,4980
Rice,1,2010,10083
Riley,1,2010,71115
Rooks,1,2010,5181
Rush,1,2010,3307
Russell,1,2010,6970
Saline,1,2010,55606
Scott,1,2010,4936
Sedgwick,1,2010,498365
Seward,1,2010,22952
Shawnee,1,2010,177934
Sheridan,1,2010,2556
Sherman,1,2010,6010
Smith,1,2010,3853
Stafford,1,2010,4437
Stanton,1,2010,2235
Stevens,1,2010,5724
Sumner,1,2010,24132
Thomas,1,2010,7900
Trego,1,2010,3001
Wabaunsee,1,2010,7053
Wallace,1,2010,1485
Washington,1,2010,5799
Wichita,1,2010,2234
Wilson,1,2010,9409
Woodson,1,2010,3309
Wyandotte,1,2010,157505
Kansas,1,2010,2853118
Allen,1,2011,13348
Anderson,1,2011,8059
Atchison,1,2011,16754
Barber,1,2011,4922
Barton,1,2011,27694
Bourbon,1,2011,14944
Brown,1,2011,9971
Butler,1,2011,65836
Chase,1,2011,2768
Chautauqua,1,2011,3608
Cherokee,1,2011,21357
Cheyenne,1,2011,2693
Clark,1,2011,2120
Clay,1,2011,8530
Cloud,1,2011,9420
Coffey,1,2011,8486
Comanche,1,2011,1882
Cowley,1,2011,36242
Crawford,1,2011,39197
Decatur,1,2011,2926
Dickinson,1,2011,19681
Doniphan,1,2011,7959
Douglas,1,2011,112462
Edwards,1,2011,3019
Elk,1,2011,2786
Ellis,1,2011,28762
Ellsworth,1,2011,6463
Finney,1,2011,37119
Ford,1,2011,34381
Franklin,1,2011,25850
Geary,1,2011,35290
Gove,1,2011,2725
Graham,1,2011,2635
Grant,1,2011,7898
Gray,1,2011,6086
Greeley,1,2011,1254
Greenwood,1,2011,6610
Hamilton,1,2011,2636
Harper,1,2011,5935
Harvey,1,2011,34686
Haskell,1,2011,4233
Hodgeman,1,2011,1957
Jackson,1,2011,13424
Jefferson,1,2011,18958
Jewell,1,2011,3090
Johnson,1,2011,552872
Kearny,1,2011,3958
Kingman,1,2011,7890
Kiowa,1,2011,2558
Labette,1,2011,21374
Lane,1,2011,1743
Leavenworth,1,2011,77052
Lincoln,1,2011,3233
Linn,1,2011,9612
Logan,1,2011,2766
Lyon,1,2011,33650
Mcpherson,1,2011,29149
Marion,1,2011,12544
Marshall,1,2011,9981
Meade,1,2011,4519
Miami,1,2011,32735
Mitchell,1,2011,6284
Montgomery,1,2011,34781
Morris,1,2011,5864
Morton,1,2011,3175
Nemaha,1,2011,10089
Neosho,1,2011,16445
Ness,1,2011,3117
Norton,1,2011,5655
Osage,1,2011,16341
Osborne,1,2011,3832
Ottawa,1,2011,6063
Pawnee,1,2011,6977
